prompt,target,ngram,seq2seq,gpt2,t5
"something, cell
Joke:",Something about the cell makes me feel trapped and snacky.,,"Something about cellpadding feels very expensive. Very efficient, but also slightly clunky.","Something's wrong with the cell. I asked, Why? He replied, Because someone disagrees with you.","Something happened in a cell. My phone said, Oh, my heart."
"right, native
Joke:","You’re right, I’m not a native speaker—my grammar proves it.",,"You’re right, I’m probably foreign when it comes to math.","You’re right, the native accent sounds impressive.","You're right, native language. I said, I would never see the world."
"together, thank
Joke:","We were confused together, thank the group project for that.",,"You're together, thank you, I'll keep it short.","Together, thank you for making me feel like a bad guy.","I'm together, thank you—and you're a friend."
"hello, board
Joke:",Hello board—you're full of people pretending to know things. Acting class for failure.,,Hello board members… except for my snacks.,"Hello board, please make me a cookie—I'll snack on everyone else's failure.","Hello board, it's a board, and it's too complicated."
"hello, members
Joke:","Hello members—of my fan club, population: me.",,"Hello, members—I’m not your group, but somehow I’m still here.",Hello members… let's see what we can manage.,"Hello members—they’re in a tidal. I asked, What? He replied, Why? He replied, But nothing really!"
"please, france
Joke:","Please, France, give me pastries and wine.",,Please excuse my confusion by asking me to fetch coffee.,Please don’t forget France… my appetite has been destroyed.,"Please visit the france. I asked, How? I replied, What do you want to do? He replied, I replied, You’re a lovely man."
"right, smell
Joke:","You're right—it smells. I asked, Like what? He replied, Like regret.",,"You’re right, smell good—until you’re told to stop.","You’re right, smell good… mostly for my snack.","You're right, smell is bad—the smell is weird."
"excuse, told
Joke:","Excuse me, I told you my dog ate the homework… and yes, it’s still digesting.",,"Excuse me, what happened?"" He said, He doesn't know—my explanation is suspicious.","Excuse me, I told you to stop asking for excuses. He asked, Why? I replied, Because I said I was wrong—because I wasn't.","You excuse that you told me the truth: we're going to be wrong—I just said, We're not better than the next."
"excuse, city
Joke:",Excuse the city… my GPS is broken again.,,Excuse the city—snacks here cost more money than chocolate.,"Excuse me, I'm in a city—nothing fancy, just chaos.","Excuse your city... it's a city. It's a city. I asked, Where? He replied, It's an excuse."
"thank, rules
Joke:",I thank the rules for existing so we at least know exactly what we’re creatively ignoring. ​,,Thank rules for keeping things simple; snacks and instructions are mandatory.,Thank the rules… for explaining chaos to me.,Thank you for the rules... the rest of the time.
"know, studied
Joke:","I know you studied, but did you *learn* or just panic-read?",,"I know that study of failure helps, but studies still tell me we didn’t do it. ​","I know the study included errors, but I still chose the one that included them.","I know it's studied. He asked, What did you think? He replied, It's not a discipline."
"please, september
Joke:",Please be kind in September; students are running on leftover summer hope and coffee. ​,,"Please September—finally sunny weather. I asked, What? He replied, That summer's better now.",Please be October. We don't celebrate holidays with cookies and references.,"Please, september is the best week of my life."
"know, specific
Joke:",I know specific things. Specifically how to be wrong. Expertise in error.,,"I know specific instructions, but my brain still doesn’t know.",I know specific tasks… and the specific ones make me forget everything else.,I know specific things—that's the perfect explanation for failure.
"nothing, university
Joke:",Nothing university taught me prepared me for printer errors.,,Nothing university taught me—except for my appetite.,Nothing happened at the university except for one email I got.,"Nothing in university. I'll stop. I said, ""I'm a science student. He said, I'm not a science professor."
"together, thanks
Joke:",Together—thanks for staying. For the pain. Shared misery is just friendship with regret.,,"Together, thanks for nothing—I’m always the one crying.",Together—thanks for the snacks.,"Together, thanks... but nothing else is a good excuse."
"course, village
Joke:",Of course it's a small village where everyone knows your business. ​,,This course is simple—go there. Not there yet. Like the destination. Very much on vacation.,"We're in a village. I asked, Where? He replied, The center of it.",I know the village is going to be a mystery.
"want, played
Joke:","I want played well… in a game, not in life, thanks.",,What do you want played? My name will be in your diary.,"What do you want played? I want to do the opposite. I asked, What do you want? He replied, Nothing.",You want playing games. They’re just watching games. They’re all playing games.
"know, trail
Joke:","I know the trail. He asked, Where does it lead? I replied, Nowhere good.",,"I know the trail is rocky, but the descent looks like fun for the trail signs alone.",I know where the trail leads—I’m tired.,I know trail is a difficult one—that's a little neapolitan experience.
"mind, located
Joke:","Never mind where it's located. I said, But I want to know. He replied, No you don't.",,"You’re only thinking about where the instructions went—which is located in my head, not yours.",Mind located—it’s the most beautiful place I've ever seen.,I’m thinking I was located—my stomach’s just an empty seat.
"listen, soon
Joke:","Listen, soon isn’t a deadline—it’s a threat.",,"Listen, soon I’d start eating like a chicken.","Listen, soon… my alarm clock is running… tired.","Listen, soon! My friend asked, But no, what? He replied, Why? He replied, It's always the next."
"please, except
Joke:","Please, except snacks from all rules.",,Please do not mention me. I'll ruin your mood forever.,Please—except my homework.,Please except for my own lunch.
"time, gosh
Joke:",Time—gosh. We're wasting it. Successfully. Very committed to wasting.,,"The time my clock disagrees is the minute I eat pizza, yet somehow my stomach still feels like the snack bar. ​",Time for gosh—I’m bored with deadlines.,It’s time for the gosh... to go with it!
"seen, married
Joke:",I've seen people get married with less commitment than their streaming subscriptions. ​,,I saw his wedding and wished he hadn't been married that day.,"Seen married? He asked, And why? I replied, Because I can't answer him honestly.",I seen a married person who's married—that's what I'm seeing.
"think, sale
Joke:",I think it’s on sale because it knows I’m broke.,,You think I’m selling the place? It’s a gamble.,I think the sale is over. I sold a product to a terrible customer.,Think sales are better than my budget.
"right, carol
Joke:","You're right, Carol. She asked, About what? I replied, I don't know, but you looked sure, so you had to be right about something.",,"You’re right, Carol is gentle—like a magician.","You’re right, Carol is a professional, so I asked, How was your job? He said, It wasn’t professionally honest—she replied, Very good.","You’re right, carols are always the best!"
"took, crazy
Joke:",He took one crazy idea and built a whole personality around it.,,"I asked, Crazy—did you take crazy? He said, Not with me.",Did you take crazy steps? I did.,I took crazy pictures... but it didn’t.
"really, goodbye
Joke:",You really said goodbye like it wasn’t my villain origin story.,,I really want to take a break—I’m permanently tethered to my couch.,I really didn’t want to be a part of this tragedy—my confidence died there.,"I really longed goodbye to my friend, he said, but the resentment had gone."
"good, population
Joke:",It’s good the population is growing—more people to ignore my jokes.,,"That’s a good population. I asked, How? He replied, By saying 'good luck' to me.","Good population, population of pessimists.",It’s good population; they’re pretty damn insecure.
"talk, royal
Joke:",Talk royal—like the king of chocolate.,,"Talk royal. I did not think so. In retrospect, they ate my dignity.","Talk royal, but I have too much tea.","Talk royal? I asked, But how do you know? He replied, In fact, the conversation is not the same."
"time, grunts
Joke:",Time grunts at us. We grunt back. It's an evolutionary conversation about futility.,,"Time grunts at me, as if it's the only reason I have sleep.","Time grunts at you like a boss who listens to his boss say ""you're the boss"" at you five seconds before you start. ​",Time is perfect—a few grunts can change.
"case, sighs
Joke:",In case you were wondering—sighs are evidence. Collected and catalogued by disappointment researchers.,,The case sighs. I tried. Nothing got here. Permanent solution to existing disappointment.,The case sighs… and tears.,"You're case I hear about my sighs. I said, He said, Then, I'm back."
"told, references
Joke:","They told me to add more references, so I quoted my stress and my coffee. ​",,They told me references are cool—mostly to remind me to use my phone's battery.,He told me references to movies would make my brain explode—except this one actually references movies.,I told references... but I stayed with them.
"give, closed
Joke:","Give me closed. Doors, doors, doors. We're not opening anymore. Permanently shut down.",,"Give the closed door a strong hug and we can say ""close."" ​",Give me closed-door responsibilities—I know I’m not alone.,"Give it close, but we're now closed."
"thank, washington
Joke:",Thank Washington for holidays… snack breaks included.,,"Thank you, Washington, for keeping us safe… or at least making sure we don’t cry either.",Thank the washington guy—he showed up with the wrong sock and my wardrobe.,"thank Washington, I said, for the Washington post."
"back, price
Joke:",Get back to price. How much failure costs. Expensive. Very expensive.,,"I’m back—calm down, price of coffee.","You back the price? He said, Yes, thanks.",Back to price—not price-conscious.
"wrong, near
Joke:","Everything near is wrong. I asked, How near? He replied, This close.",,"You’re right, near misses really do matter. Especially in my head.",Wrong near my sleep… mostly confused.,I'm wrong. Nearness. But not close. Closest.
"sure, based
Joke:",You sure that’s based on facts? Because it sounds like vibes.,,I’m sure he’s talking based on his body language.,"Are you sure based on the photos, my confidence will fall?",I'm sure my brain’s going to be determined.
"school, possible
Joke:",School made possible what? Disappointment at higher education levels. Success metric achieved.,,School is possible if you procrastinate. Or at least we procrastinated on procrastination daily.,School—possible? Very likely. School of chaos.,"School can be possible, but if they don’t, you’ll be more comfortable."
"four, whoa
Joke:","All four of us said ""whoa"" at the bill, like a surprised boy band. ​",,They said four years—I’m actually five years past that deadline.,Four whoa! They're not singing my favorite songs. They're just screaming at me.,"Quarante, whoa—and my brains will all be happy."
"sure, captain
Joke:",You sure you're the captain? Because this ship is definitely sinking.,,"Sure, Captain—my snack supply is running low.","Sure, captain, you’ll stay… unless I kill you emotionally.","Sure, captain is a plight. He says, He's always a good captain."
"good, germany
Joke:","Germany is good at engineering—me, not so much.",,Good German food—mostly leftover cold food.,That's good Germany. We eat it like we’ll’n blame it on a friend. ​,"Good Germans—we can't do anything. I asked, Why? I replied, That's a bad thing."
"sleep, team
Joke:",Our team tried to pull an all-nighter… sleep won.,,"I’m tired of my own team. I said, Why? He replied, Because I've got responsibilities.",Sleep—team of professionals. Together we survive failures. Together we fail. Together we're the ones with the technology.,"Sleep, team life is a pain—the pain is just the first."
"know, transferred
Joke:","I know you transferred schools, but did your chaos transfer too?",,"I know the transfer was complex—it was slow, embarrassing, and mostly disappointing.","I know transferred characters—you're still in my mind, however.","I know transferred me, but the world is still busy... it’s a big sack."
"good, residents
Joke:",That's good—residents here. Permanent occupants of regret. Very committed.,,That’s a good resident: quiet and humble.,"Good residents—they stay in for the night. My friend asked, Why? I replied, Because life's too dangerous for people to go hungry.",The good residents are in a good state.
"give, production
Joke:",Give theatre kids a small budget and they’ll still create a production louder than your thoughts. ​,,Give me production value—at least half the budget makes that happen.,Give us the production—we produced nothing.,"Give me a production for my life. He asked, What do you give? He replied, No, No, No."
"understand, november
Joke:","Understand November—cold, dark, and snack-heavy.",,I understand December is short but my patience has soared.,Understand November? It's summer. The heat keeps piling up. Spring. The heat stays there.,"I understand the month I’m coming, but the months go by."
"like, commanded
Joke:",I like things commanded. By chaos. By fate. By my own stupidity.,,"I’d like you commanded it, but my snack counts as a warning.","I like commands, but my anxiety is too high.",I like that commanding time—which is a nightmare.
"hello, anyway
Joke:","Hello? Anyway, I’ll just keep talking like the call didn’t drop.",,"Hello anyway! I just asked the question, but anyway I can’t leave.","Hello, anyway? I asked, Why? He replied, Because you're the one who asked.",Hello anyway—that's a misunderstanding of my time.
"know, hungary
Joke:",I know Hungary… mostly because of my snack cravings.,,"I know Alan is right—and I'm just confused, emotionally, over his opinions.",I know London is haunted… mostly by ghosts.,I know the hangary is hanging—but I don’t.
"look, outta
Joke:",Look outta the window—my motivation is escaping again.,,"Look outta the window, which means we’re having a snack at this point. ​",Look outta the window… my legs hurt.,Look out of the mud—that's too embarrassing to swallow them.
"understand, center
Joke:",Understand center. Middle ground of mediocrity. Equilibrium achieved.,,"I understand the center of the room, but my brain ignores it.",Understand the center? It's chaotic. It's chaos that we need elsewhere.,"Understand the center of your life. He asked, Why? I replied, I’m not right."
"good, hired
Joke:","That's good, hired. Now you're someone else's problem. Congratulations on the promotion.",,You’re good hired—mostly because I asked for your apology.,The good people at HR didn't hire you because you had a bad day. They hired you because you're hired to perform poorly.,It's good hire... I hired a job... to meet my dreams.
"listen, state
Joke:","Listen, my emotional state is 'buffering.'",,"Listen, state—your priorities are on your snack-snacking habits.","Listen, state the problem—I said, That's the problem. He replied, Exactly.",Listen to state-run newspapers.
"give, opened
Joke:",I gave the gift and it opened my social calendar… into chaos.,,Give me the free snacks—I opened them incorrectly and my sanity filed a complaint.,Give me a hug—I’m open to the cold.,Give yourself a first glass of wine and open your eyes.
"girl, chief
Joke:",Girl—chief arrived. Leadership: feminine. Results: identical.,,"Girl, chief said 'we're not here' and everyone was like, 'whoa, come back later!'",The girl chief is the most disappointing leader in town.,"The girl's chief. Then she's the girl. She said, That's the problem."
"like, nikki
Joke:",I like Nikki; she’s chaos with a smile.,,I like Nikki—she's a person who just likes making mistakes.,"I like Nikki… mostly because she’s cute, but also because I don’t feel pressured to be.","I likenikki, but I know it is."
"come, references
Joke:","Come references, come… or just text me the links.",,Come back references—all my references were stolen.,Come see references… mostly in their own language.,"Come get references, but if you don't know the answer, I'm still waiting for a reply."
"years, honey
Joke:","Years pass, honey—then the snack stash remains the same.",,"Years of honey, honey… mostly served at parties.",Years of honey—just a few surprises left.,Years of honey—that’s pretty much the only thing i can’t afford to leave.
"kidding, also
Joke:","You’re kidding, right? Because my stress also has stress.",,"I’m kidding, even in my head it’s still confusing.","I’m kidding, also my patience is running low.","I didn't kidding, I also didn't help myself."
"call, united
Joke:",Call United… or just yell at your phone.,,I tried calling the united people in tears… I've lost count.,"Call me a united person. I said, You're not. He replied, No, thank you.",Call the united tribe for the day—that's really one thing a lot of people are arguing.
"good, cell
Joke:",That's good cell service—too bad it's the prison kind. Connected but trapped. Modern metaphor achieved.,,Good cell phone reception—keep your hands and ears locked on this one.,That's good—my cell phone battery is dying.,I'm good about cell phones—that's not what I can't expect.
"thank, football
Joke:",Thank football for giving me something to yell at safely.,,Thank football for reminding me that snacks are important—my snack stash also contains dessert.,Thank football for getting me to believe I'm in charge—and nobody listens.,Thank football for donating me... for the money.
"look, cost
Joke:","Look at the cost of that item! My friend said, It's expensive. I replied, Looks don't change cost, just regret.",,"Look, my cost is not optional. I asked, Exactly? He replied, Exactly.","Look, I'm paying for your time. I said, For what? He replied, To be honest, for being procrastination-free.",Look and take the cost. The price is low. They are expensive. No one knows it.
"know, derek
Joke:","I don’t know Derek, but he sounds like he causes problems.",,"I know Rudy from his Instagram, but his name is also viral. ​",I know derek was strong—but my stomach disagrees.,I know Derek’s being buried and it’s very strange.
"made, birthplace
Joke:",He made his birthplace sound fancy—bro you were born at 3 a.m. on a Wednesday.,,"He said it made a place, but the birthplace knew it. I asked, By what? He replied, The birthplace.","I made the birthplace. He said, So what? I replied, The birthplace doesn't exist.","My name is made at birth. It’s the birthplace, but my imagination is a pain."
"love, commander
Joke:",I love the commander of the cookie jar.,,I love the commander. He commands a squadron with no responsibilities. He's just a commander's favorite character.,I love the commander. He has a lot of confidence. He needs advice. He's got no sense of direction.,"Love commander. He asked, What? He replied, We're not ready to do."
"think, defeat
Joke:",I think defeat is inevitable… but I’ll snack through it.,,I think defeat is optional when life is terrifying.,I think defeat is optional—I'm just tired of procrastination.,"I think defeat was my goal... and I said, Then I'm all the success of my own."
"take, fault
Joke:","I’ll take the blame, but the fault is still not mine.",,Take the fault—it’s the world. It ignores my excuses.,Take a fault—it’s your life.,Take the fault... i'm disappointed.
"tell, list
Joke:",Don’t tell me to make a to-do list—I’ll just put ‘make list’ and feel accomplished.,,Tell them the list of excuses. They'll reply in a month.,"Tell me what you're planning for the list. I can't. He said, With expectations.",Tell me about this list of things I forgot about.
"know, september
Joke:",I know it’s September when every teacher suddenly remembers what homework is. ​,,"You know September can change in real time, especially when someone forgets to file for bankruptcy. ​",I know September is cold. I’m tired of being cold.,"I know October is about the weather. I said, Yes, it was Christmas."
"give, york
Joke:",Give me New York pizza and I’ll forgive nearly anything.,,Give New York a chance—it's not happening just yet.,Give York a chance—it's basically New York City.,Give me a yoke—that's my heart.
"come, listening
Joke:",People come for advice but are only listening for confirmation. ​,,Come see what we listen for. I did. They listened. Silence. Compassionate silence.,"Come listen, I’m not listening. He asked, Why? I replied, Because you’re listening.","Come listen, then hear your music—at least if it’s not listening."
"come, railway
Joke:","Come on, the railway isn’t confusing—you’re just direction-proof.",,Come railway—my patience is faster than your patience.,"Come see the railway. I said, Come see it. He replied, Never.","Come see a railway in the morning. I said, I’ll always forget that my train is not about us."
"crazy, last
Joke:","Crazy last minute… my specialty, not recommended.",,Crazy last question… and I’m still confused.,Crazy last minute—we're stuck. We're stuck somewhere. It's infinite.,"That last minute was crazy, but I didn’t want to stay, like the next thing I did."
"know, families
Joke:",You know families are complicated when the group chat needs moderators. ​,,"I know families. My friend asked, Why? I replied, Because they’re emotionally dead.","I know my kids are suffering because they’ve been traumatized, but my therapist said 'that’s it. Your kids are traumatized.'",I know families are getting so hot that they do not know why they do.
"something, forces
Joke:","Something forces me to stay here. I asked, What? He replied, Probably bad life choices.",,"Something forces me to stay at home. I asked, Why? He replied, Because failure is just my imagination.",Something forces me to do something… like panic attacks.,Something forces me—not a game.
"come, marie
Joke:",Come meet Marie Antoinette—she lost her head and gained a legacy. Career advice for today.,,"Come meet Marie, the mother of snacks.",Come see Marie—her face is still so traumatized.,"Come come Marie, I'll be chatting about it."
"east, guess
Joke:",East—guess direction. Could be anywhere. Navigation: theoretical.,,"This east wind is saying ""don’t panic, don’t steal my snacks."" ​","East—might as well tell the joke from west. He said, What am I supposed to say? I replied, Nothing.","The east is a guess. I asked, What? He replied, I was right, and not."
"tonight, national
Joke:",Tonight's national news features people disagreeing loudly about the same three topics. ​,,"Tonight, I’m national news—like most other national news.","Tonight national news is chaos, not my imagination.","Tonight it is national, but we get to find the perfect time to talk."
"right, empire
Joke:","I tried to build an empire, but I couldn’t even get my WiFi signal right.",,"You’re right, that empire got huge. We're in the top five now. Very high.","You’re right, that empire is vast—and it’s probably also judging me by my tweets.",You’re right—the empire is just a story.
"know, cellspacing
Joke:","I know cell spacing matters, but my tables scream in protest.",,I know cellpadding is important—my printer just ignores it.,I know cell spacing works—my brain wants more.,I know cellpacing and my brain’s not pacing.
"want, october
Joke:",I want October to chill—Halloween lasts a month now.,,I want a holiday break—until it’s too late.,"I want January to be quiet and productive, not chaos. ​","I want October—as a cold, but I don’t want to be on a cypress agenda."
"know, crown
Joke:","I know the crown is shiny, but please stop trying to wear the fruit bowl.",,I know crowning your life is easy until you try to steal my crown. ​,You know the crown looks dramatic when you see it—and I’m probably right about that too.,"I know crown, but my heart is the only one that's going to be the best of my life."
"think, designated
Joke:",Think designated. We're all designated for something. Mainly disappointment. It's our destiny job.,,I think designated snacks are safer… for the people who snack all the time.,I think I designated a group of people who hate me—so they never come to the table.,Think designated boundaries... but some people were disappointed.
"mean, formed
Joke:",What do you mean it's formed? I mean it looks like it formed itself—impressive for an inanimate object.,,"I didn’t mean to, but it formed the plotline.",Mean formed; my life became more of an improvised drama. ​,You know what you formed—that’s why my imagination has become a huge problem.
"hello, early
Joke:","Hello, you’re early—are you lost or being responsible?",,"Hello! At this early hour, I’m going to start looking at my responsibilities.","Hello, early, my friend. Very polite, but also slightly suspicious.",Hello early—especially when I’m late.
"hold, live
Joke:",Hold live… the snacks are escaping.,,"Hold your breath—it’s live. I asked, What? He replied, The thing that keeps happening.","Hold on, live until the snack arrives.","Hold up to live. You want to live in one. I ask. I replied, I asked, Why? He replied, You must stop."
"know, matilda
Joke:",You know Matilda is brilliant when she solves problems in her head. ​,,"I know Matilda exists, but can she’t really stop playing the villain?",I know Matilda. She has a personality. My cat has a personality. My dog has a personality.,"I know matilda is her perfect neighbor... she's not perfect, but we're a mess."
"thank, date
Joke:",Thank you for the date—I enjoyed the free food and mild chaos.,,"Thank you, date… not if your date wants you.",Thank you for the date… you'll regret it later.,Thank you for your date—or date.
"tell, central
Joke:",Tell the central office to chill—they send emails like alarms.,,"Tell me about central heating. It's everywhere. Very tiny, very expensive.","Tell me about central and central lights. I asked, What do you mean? He replied, Everything around me is a big central box.",Tell me centrally—that’s the place you want to go and work through.
"think, literature
Joke:",I think literature judges me—every time I dog-ear a page I feel the guilt.,,I think literature is just stress getting organized so I can nap in bed. ​,I think literature matters… mostly because it speaks for itself.,"I think literature is a science of hope, but it's not a science fiction."
"woman, system
Joke:",This woman hacked the system—by turning it off and back on.,,Woman—system here. All systems depend on chaos. The system of failure is chaos now.,"Woman, the system has my GPS, and my wallet.","She’s not the system. She said, No. He replied, ""You’re not the system."""
"also, outta
Joke:",I'm also outta—ideas. Time. Patience. Sanity. All the important stuff.,,"That’s also outta. I just told him I was from somewhere. He replied, By coincidence.","What’s also outta you? He asked. I replied, That the universe's running me a favor.",It also outtas—intascensions are the most difficult ones.
"guess, international
Joke:","Guess what's international? Disappointment. It transcends borders, languages, and sanity.",,"What do you guess? It’s international. He said, It’s chaos.",I guess international travel is confusing for me.,I guess the international scene is still a mystery.
"talk, worked
Joke:",Talk—worked. For who? We're still failing. Effort misapplied.,,Talk—worked? Yes. Mentality died. So did my life.,Talked for hours—worked. Now I'm just trying to finish it.,Talk to me... he worked as a counselor.
"wait, published
Joke:","Wait, it got published? Even my mistakes are going public now.",,Wait—published? I was still waiting on the last page.,"Wait, published? I asked. He replied, Never.","Wait, published stuff, and it's not in print."
"mean, division
Joke:",I didn’t mean to confuse you—math just insists on division.,,"I didn’t mean to confuse division by division—like snacks, caffeine, and regret.",Mean division… and I’ll be a chaos expert.,I mean division—that’s the answer.
"look, association
Joke:","Look, association is strong… like coffee and panic.",,"Look at that association poster. He asked, What's that association saying? I replied, They're saying things—like you hate yourself.",Look at this association—I’m not the only one.,Look at your association... unless you’re a member.
"think, jews
Joke:",I think Jews have great history… mostly from my readings.,,I think jews are my best friends—preferably their sarcasm.,I think Jews invented my coffee.,I think Jews are better—they should be worse.
"want, program
Joke:","I want this program to run, not run away from errors.",,I want a program that can handle all the tasks that my laptop can handle. ​,What do you want to do? Programmatically improve. Progress to failure. Progress to failure.,I want a program—and the schedule works for me.
"think, april
Joke:",I think April showers are just the sky doing a dramatic plot reveal.,,I think April should be festive. Forever. Perfect disappointment that can't escape.,"I think April is a cold, damp month—like the weather forecast from June.",Think October is winter—it’s winter.
"know, expedition
Joke:",I know it’s not a real expedition when the hardest climb is out of bed. ​,,"I know about these trips. My friend asked, How? I replied, They're really brave.",I know my snacks are expensive… mostly the ones I accidentally eat.,I know an expedition... I do.
"know, shaft
Joke:",I know the elevator shaft is dangerous—just like group projects.,,"I know the shaft is strong—snacks, disappointment, nothing.",I know shafts—my motivation for existence.,I know shafts...... it’s a mess I need.
"need, afternoon
Joke:",We need afternoon. To rest from morning's failures. Recovery period before evening's.,,I need time to relax; I'm bored of waking up early in the morning.,My need to nap—mainly because it's not working.,I need afternoon for lunch... I thought 'til it’s an hour of dinner.'
"Rob Kardashian Testifies That Then-Fiancée Blac Chyna Put A Gun To His Head
Joke:","Rob testified she pulled a gun—that's serious, and also a Kardashian lawsuit that's actually interesting for once.",,Rob testified that Chyna's henchman didn’t put a gun to his head. That's how much power Kardashian uses—that's the power Kardashian keeps hiding.,Rob testified he was hit by a gun. That's the truth.,Rob allegedly put a gun in his head—that's right—as he's arguing about her.
"NYC Sheds Vaccination Mandate, School Masks Precautions
Joke:",NYC dropped vaccine mandates and masks. That's giving up and hoping for the best.,,NYC is fighting vaccines—and it's doing so with a smile.,New NYC vaccine mandates were protecting kids—that's basically what vaccines are.,NYC vaccinated from school—that's what happens.
"Dolly Parton Reverses Course On Her Rock & Roll Hall Of Fame Decision
Joke:",Dolly changed her mind about the Hall—that's called 'I reconsidered being humble.',,Dolly won her rock and roll hall of fame—which means voters will understand.,Dolly chose rock and roll and still plays it today—that's a career decision.,Dolly decided to take a rock-and-roll look—it's just a joke.
"9 Migrants Are Found Dead In Rio Grande: Border Patrol
Joke:",The river took lives that were just trying to find a better one.,,"A 9-migrants got really, really stuck. Border Patrol wasn't sure.",They're dead—because it's too late.,Les immigrants are still dead—they're still waiting for it to go away.
"Senate Gives Final Approval To Ukraine Aid, Huge Budget Bill
Joke:",The Senate approved Ukraine aid. That's bipartisan when it matters.,,"The Senate gave Ukraine aid—that's not bipartisan, that's devastating, and it's bipartisan.",The Senate approved $800 million for Ukraine—that's the size of a lot of war.,Senate approved Ukrainian aid—which is a big big flop.
"Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders
Joke:",They're asking people to be vigilant—while trying to catch the killer.,,Albuquerque police tell Muslim community to be vigilant—preferably to kill.,Albuquerque's Muslim community is vigilant—mostly against hate crimes.,Albuquerque's police told Muslim community they're fighting for murders—that's a crime of the past.
"Marjorie Taylor Greene Spews Head-Spinning Double Talk To Laura Ingraham
Joke:",MTG said incoherent nonsense—and Laura just nodded along like it made sense.,,MTG—half her talking points and half her laughing—expectations only.,MTG roasted a head-spinning double talk—that's politics as usual.,Marjorie had a double talk—and there's no better reason for the debate.
"Johnny Depp Makes Surprise Appearance As Moon Person At MTV VMAs
Joke:",He's gone from courtroom drama to floating head—what a career pivot.,,Johnny appeared and talked with Moon—that's the first time Depp's seen a Moon person.,Johnny Depp revealed himself as a Moon person—because apparently people just can't make up a name for themselves.,Johnny's on moon... but the rest of the audience's watching music.
"NFL Rookie John Metchie III Diagnosed With Leukemia, Will 'Likely' Miss Season
Joke:",He made the team—then got hit with the worst call.,,A veteran player got his first shot—and Metchie missed it too.,Metchie missed a year—that's football's survival story.,Metchie diagnosed with leukemia—my team's never got that.
"Leon Vitali, Stanley Kubrick's Right-Hand Man, Dies At 74
Joke:",He helped create cinema magic—now he's joined the credits roll in the sky.,,He was a legend and a legend's soul—now we know who did it.,He was right—the film died.,"Leon's rightsman, Stanley Kubrick, died at 74—they're in a wheelchair."
"U.S. Pediatricians' Group Moves To Abandon Race-Based Guidance
Joke:","Pediatricians ditched race-based medicine—finally, doctors realizing that race is social construct, not biology.",,Pediatricians are arguing in favor of race-based education—that's not medicine.,Pediatricians' group's leaving—that's their policy.,Pediatricians' group said they've been arguing race-based and resentment is not even a goal.
"White House Removes Dr. Oz, Herschel Walker From Presidential Council
Joke:",The White House kicked them out. Finally—accountability.,,The White House removed Dr. Oz from the council—that's not supposed to happen.,The White House removed Dr. Oz—that's political theater disguised as reality.,". The White House removed Dr. Oz, Herschel from Presidential Council—that’s what we’re doing."
"Russia Launches Fight For Industrial Heartland, Ukraine Says
Joke:",Russia's fighting for Ukraine's industrial heartland—that's called imperialism with a scoreboard.,,Russia's bombing Ukraine and trying to stop the Heartland movement—that's called 'attacking Russia.',"Russia's trying to kill industrial heartland—that's called invasion, not diplomacy.",Russia says its slack for industrial growth—that's because it's going to stop pacing with a monopoly.
"Patrick Lyoya's Death Casts A Light On How Police Mishandle Traffic Stops
Joke:",A traffic stop became a tragedy—another unarmed Black man dead.,,Police bungled traffic stops—which is basically saying 'goodbye to traffic.',Lyoya's death shows how police behave. ​,I'm going to get a fight on the police.
"Trump Heaps Praise On Hungary's Viktor Orban At Conservative Conference: Report
Joke:",Trump praised Orban—that tells you everything about what Trump wants.,,"Trump praised Orban for attacking the country. I asked, Why? He replied, To call it out.",The president praised Orban for making Hungary a great place. That's good.,Trump joked about Orban's cynicism—it's a huge scandal.
"WATCH LIVE — A New Labor Movement: How Workers Are Unionizing Amazon, Starbucks, REI And Apple
Joke:",Workers are unionizing—capitalism finally got a speed bump.,,Workers are unionizing—they want jobs and a pay structure that aligns with their union.,Workers are unionizing and joining forces—they're just unionizing at the same time.,Then you're in the labor movement—not just a small company.
"House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?
Joke:",Politicians bending the rules? Shocking said no one ever.,,They're using controversial tools—tools that could never be used by a GOP.,They're using a controversial tool—but not enough for our primary campaign.,It's a nonsense tool that's a long battle. That's a great thing.
"Emergency Declaration For Multiple Wildfires In New Mexico
Joke:",New Mexico declared a wildfire emergency—that's the new normal and we're all just accepting it.,,Dozens died in a wildfire in New Mexico; the worst has happened near a lake. ​,Albuquerque Emergency Declaration's asking for emergency relief—and the response is still delayed.,Emergency declaration for multiple wildfires—it's called the emergency declaration.
"This Earth Day, Biden Faces 'Headwinds' On Climate Agenda
Joke:",Biden's got climate headwinds on Earth Day—that's poetic irony nobody needed.,,Biden's facing headwinds—because climate is real.,"Biden's headwinds on climate—that's not a policy he's elected to listen to, that's just a political stunt.",Biden faces 'headwinds' on climate agenda—too hot.
"Chihuahua Puppy In Recovery After Being Shot Through The Neck With Arrow
Joke:",A puppy got shot with an arrow—and we're supposed to believe accidents happen.,,A puppy got shot through the neck with an arrow—that's therapy happening.,A chihuahua got shot through the neck—that's not supposed to happen.,Chihuahua Puppy is recovering—that's an opportunity to give up.
