word,frequency
summit,53
jamboree,25
inflation,21
delegate,21
proposals,40
delegation,33
withdrawn,46
kissinger,1
enunciated,3
racial,69
hostile,47
taxis,2
vehicles,117
filipino,33
manufacturer,60
sarao,2
increased,177
jeepneys,2
philippine,31
philippines,88
americano,6
tyrants,1
spaniards,8
numbered,111
liberated,17
juan,135
trespassing,13
suppressed,22
cocoon,17
embraces,9
leandro,17
jingled,1
hermes,3
hammering,6
leafless,1
stared,10
coldly,1
granting,25
heal,56
anselmo,4
superstar,19
giorgio,12
sinner,12
clara,56
vowing,2
annually,47
coconut,42
mango,10
lourdes,16
donate,29
jeep,35
awaits,13
chateau,14
sights,30
sacr,1
coeur,2
eiffel,10
montparnasse,1
tallest,15
quartier,4
latin,228
yolks,4
vendor,12
synthetic,19
supermarket,52
merchants,22
lola,32
monuments,39
cones,8
fiesta,11
designating,5
profitably,1
jeeps,2
bretons,1
alsatians,1
coco,15
cherry,52
joked,4
scolded,1
phantoms,3
bavarian,8
zwiebel,1
onion,52
zwiebelturm,3
handcrafted,1
zwiebelturms,2
technologies,66
ton,95
autobahn,3
forest,330
razed,10
surface,228
planter,4
typhoons,3
chimneys,24
inauguration,17
souvenir,7
godly,5
concorde,4
supersonic,5
fatherland,13
equality,21
markets,75
supermarkets,14
personalities,42
testament,77
relinquish,2
furthermore,64
irrevocable,2
truest,2
scalisto,1
kg,95
clobberer,1
mumbly,1
midwest,30
snows,2
louise,90
barnyard,6
sealy,2
posturepedic,3
orthopedic,4
surgeons,33
backache,1
dignitaries,4
republic,306
warmly,3
franklin,95
ms,216
hayes,44
inventories,1
saracini,1
resided,22
related,310
deceased,57
remote,87
bathtub,25
inseparable,18
jogger,2
swimmer,21
fractured,19
paraplegic,1
momentary,3
raphael,30
changer,4
rand,58
impersonal,3
jeffery,2
chauncey,30
gardiner,67
basil,33
perdita,2
unwrapped,1
chopsticks,3
packages,36
taiwan,107
informed,84
assimilate,6
muddling,2
allenby,2
rands,3
attorneys,15
hemorrhaging,5
constance,15
intense,84
smallest,27
glassed,1
prolong,7
steroid,10
transfusions,1
sec,62
legislate,2
flinty,2
laborer,5
vineyard,8
businessmen,18
harassed,8
taxation,23
indecencies,1
strongest,58
pollutants,7
freedoms,13
fund,155
reluctant,26
anger,81
rationality,4
fertilize,2
riff,15
swelling,17
limousine,10
gesture,50
aubrey,21
teresa,38
contribute,25
labeled,21
kingmaker,2
bandy,2
sympathize,5
growth,134
incentives,12
insightful,8
optimistic,11
enlightening,3
kaufman,13
tulip,7
bulbs,7
bushes,23
plants,117
romantically,9
advisor,55
intuitive,9
economic,244
decoral,1
milligrams,5
stopgaps,1
rethink,8
turnbull,7
autumn,66
anticipate,6
rapid,75
rewards,19
resting,31
courtney,49
burns,115
hull,63
taped,29
quoted,30
volumes,40
data,343
gathering,43
detailed,66
laconic,1
kinney,4
levity,5
zilch,7
forefinger,2
eyebrow,9
intimately,9
managing,58
anonymity,4
wither,9
guiding,16
gobbledygook,2
outstanding,109
johanna,9
rowley,60
ambassador,100
sophie,86
sleeve,30
downer,3
sid,62
pertinent,7
handmade,3
computers,77
analyzed,25
davies,61
vocal,99
poached,13
ethnic,77
architects,42
mcfeeland,1
viewer,17
glanced,2
optimism,12
coverage,116
detached,27
vladimir,23
skrapinov,2
natasha,29
rumor,26
lyman,6
cia,98
snatched,9
homosexual,26
krylov,3
fables,2
krylovian,1
dash,26
transactions,21
proficient,7
gaufridi,1
advertises,3
editors,77
philosophy,129
proofreaders,1
agency,191
honeycutt,3
accepts,25
thirdly,5
erase,20
grover,6
cct,2
rico,121
montana,35
explore,62
explorer,31
experimenting,11
cvp,1
uncoil,1
dissolves,6
eager,35
quotes,24
philosophies,11
bizarre,30
fa,63
ade,8
inkling,4
asset,37
cripples,3
scrutiny,8
lunacy,4
sleepless,4
trembled,2
accountant,32
audit,18
presidency,49
mirrors,40
tranquility,5
fuckers,15
provisional,20
baptism,22
renew,11
reject,36
profess,5
satan,36
vietnam,173
watergate,7
biography,202
cassette,18
portrait,71
pooch,7
endean,5
corporate,104
investing,10
resources,125
zangaro,18
olu,2
kimba,26
stability,64
regime,79
coup,72
tat,18
imminent,19
diplomatic,62
commodities,3
reconnaissance,59
ornithology,1
canada,421
messy,28
conspicuous,9
unnecessarily,10
risky,38
curfew,21
importation,5
cabled,2
ken,162
alan,187
dexter,20
barrier,35
naturalist,10
wildlife,84
scientific,196
species,612
crested,1
grebe,1
podiceps,1
cristatus,1
petrel,1
hydrobates,1
pelagius,1
bubbling,24
cisticola,1
esmaralda,1
troglodytes,1
nectarina,1
famosa,1
woodpecker,7
hauling,10
ets,1
candidates,94
bobi,4
moderate,37
okoye,6
maintain,106
links,72
fighters,82
ranted,1
neocolonialism,1
exile,58
opposition,173
oppose,28
content,149
kgb,18
colonial,84
warriors,59
garrison,48
ministerial,5
assemblies,14
chandeliers,2
included,580
regarding,85
migrate,7
formal,125
consul,36
presidential,115
painkillers,7
confirm,63
fractures,26
urine,45
concussions,1
disks,8
temporal,29
pneumothorax,2
perforated,2
bouts,10
unheard,9
tropical,124
shitload,2
dyscrasia,1
dysentery,2
dyspepsia,1
dysuria,1
dysphoria,1
guerrilla,15
recon,9
bluffer,1
composure,3
starlight,7
planner,9
sturgis,3
derek,176
nauseating,4
beneficiaries,8
leicester,31
loughborough,3
nottingham,36
nixon,29
zangaran,1
exiles,6
jinja,4
treacle,2
pepperoni,6
delis,1
hackett,2
launchers,4
detonators,4
grenades,18
malaga,4
croatians,1
millimeter,11
quad,17
yugoslavia,31
fixes,6
users,68
lambert,52
armalites,1
uzis,2
ak,19
user,98
belgrade,16
munitions,23
delays,13
merchandise,36
valencia,20
surcharge,2
export,49
clearance,34
nigel,42
ruckus,5
paranoia,19
executions,12
pathetically,1
resides,22
rumored,13
conflicting,9
ranking,62
potential,218
xm,11
sequence,105
devastating,25
tactical,82
antitank,1
antipersonnel,1
technology,408
mobile,157
canadian,332
total,564
crated,1
sails,20
gibraltar,10
tangiers,19
dakar,9
monrovia,4
hatches,4
ballot,24
toulon,1
hardware,47
whoop,16
discourage,9
freetown,3
sekou,1
expendable,7
painless,5
fuck,1660
journalist,151
appetites,3
consume,13
agreements,36
dated,100
manson,11
industries,93
exclusive,89
platinum,48
madrid,81
seamen,6
employee,57
brindisi,1
malta,21
telakia,1
geezers,5
enfields,1
cuban,49
firefight,6
cq,6
forests,64
thailand,72
governments,43
labyrinth,10
committing,26
cutter,26
chilliness,1
gooseflesh,2
programme,165
footages,2
sprinkler,6
syndrome,51
stirk,2
cheng,74
bong,30
wong,28
expiry,3
detectives,61
academic,199
righteous,17
superstition,9
supernatural,19
programmes,59
trusts,24
hypnotic,12
shum,10
shu,16
hoi,22
debating,18
raped,62
migration,28
humidity,15
luckily,33
substation,5
imply,19
operative,33
amplifiers,7
loudest,3
reacting,13
graduate,178
forestbizarre,1
missingpersonscase,1
incr,2
theoriginofheaven,1
sdog,1
legendary,74
fogbound,2
pissed,118
scientists,108
reconstruct,11
artificial,75
respiration,9
seismograph,1
scientist,102
obituary,10
rating,74
sponsoring,7
clients,96
react,47
headset,7
ion,38
magnetic,40
overlap,15
resonance,16
stimulates,6
outputs,6
intermittent,4
indirectly,12
swung,8
tillandsia,2
bromeliaceae,1
pineapples,2
absorbs,5
basin,55
cici,1
investigates,11
demons,43
fashioneddated,1
neighbouring,21
media,346
reporters,39
counts,78
hosted,109
nowlet,1
leung,8
lcd,9
monitor,93
disturbance,33
godwillleadyouout,2
persuading,5
categorize,3
filename,4
kc,11
employmentperiod,1
corpses,15
exceed,21
shing,4
chun,13
contacted,43
condolence,5
understandable,17
categorized,10
quitted,1
exempted,2
obsessed,58
botanist,13
exorcist,5
hypnotize,2
weirdness,4
achieved,97
courted,5
filming,61
freely,32
dares,12
longing,12
afraidvery,1
emotion,49
affect,79
expectation,19
sucessful,1
enforce,20
poke,28
defensive,161
diane,71
downs,39
sweaters,11
accentuating,1
talky,4
caffeine,15
weisman,6
paula,132
wrapping,10
hassling,4
combination,110
asthma,11
mulch,3
escrow,8
individuality,4
babson,8
cherries,3
lizard,37
chortled,2
exhorted,3
collars,6
collie,2
peed,14
anniversary,162
preoccupation,5
impulsive,10
nondescript,3
structures,84
countryside,47
isolated,61
waterproofing,1
stripping,12
webbing,4
welding,6
kneeling,10
benches,5
candelabras,1
sodium,34
pentathol,1
alvarado,4
burrito,3
hudson,96
hepburn,5
mccullen,4
endo,7
honeymooners,4
redcaps,1
oranges,3
juicier,1
martyr,14
cataract,3
depth,62
overcoat,1
icy,21
theresa,25
hanrahan,2
slippery,7
pornographic,10
claustrophobic,3
sexually,39
pow,25
cello,34
musicals,11
timmy,24
teenage,83
slumber,5
traumatic,26
towels,19
washcloth,2
nightie,1
mitten,2
creatures,101
crapped,5
winged,18
scaring,32
grapefruit,9
leary,6
recipe,36
rewrites,1
sabers,1
eleanor,23
roles,121
scripts,17
grape,18
condominium,5
syracuse,17
beltway,5
thruway,3
leesburg,2
pike,48
bottlenecks,1
robbie,57
riker,18
interstate,65
aback,4
controlled,145
video,543
dang,24
pinwheel,2
rewrite,22
muffin,15
clyde,63
claude,108
surrealistic,4
coppola,2
kenny,101
toni,9
skinner,14
edwina,2
coolie,2
celebrities,32
ron,174
barbero,1
babsons,1
splitting,26
valium,12
relaxant,1
tense,56
ramon,31
mallards,2
ducks,28
tuning,19
coordinate,31
relieving,11
separating,14
tearoom,1
pastrami,5
gil,46
professionals,41
villa,53
taco,47
thai,51
deli,12
tempura,5
sukiyaki,1
teriyaki,6
shingle,7
pushes,20
hallway,47
darkened,8
jacobson,14
dictating,3
contributed,88
framed,32
snout,16
civic,27
painfully,2
bridey,4
shinji,4
kuraki,1
ticking,28
cindy,23
stills,6
thirteen,60
cassettes,6
tacky,19
harlan,36
clicking,51
switches,18
unscrambler,1
scrambler,2
sensed,12
unscrambling,1
origin,145
assuming,72
malaysia,55
staticcrackling,1
womanmoans,1
crackling,31
ejects,2
grotesque,11
shrugged,4
clandestine,9
si,85
rena,5
renn,10
nicki,77
prophet,47
blivion,16
viewers,48
core,128
pornography,25
climate,109
malaise,1
outlet,33
fantasies,22
frustrations,7
overstimulated,2
crave,13
tactile,3
overstimulation,2
erotic,18
desensitization,1
dehumanization,1
retina,4
cathode,16
resonate,3
hisses,13
mutilation,7
sicko,5
perverts,2
pirates,108
har,13
pittsburgh,85
caller,33
disintegrating,5
ripping,16
toronto,122
porno,9
videodrome,43
splashing,9
floggingcontinues,1
pirate,63
womangrunting,1
contestant,26
screamingcontinue,1
nickiexhales,1
masha,12
borowczyk,1
dionysus,2
giggling,41
contemporary,161
naive,27
arena,69
tracking,83
subterranean,5
mondo,32
weirdo,15
unsavory,4
execute,30
grapevine,9
snuff,9
shithole,6
tits,46
greeter,2
greetercontinues,1
derelict,7
bianca,62
prof,49
catharsis,3
derelicts,1
doses,17
format,123
monologue,9
discourse,51
configuration,46
gaps,12
tapeloads,1
emerges,13
tumor,74
visions,33
reverse,72
coalesce,2
uncontrollable,7
wails,4
bites,29
triggered,43
hallucinating,12
exposed,97
imagery,22
creates,47
evolution,104
technological,26
uncontrolled,7
undirected,1
massive,139
ultimately,108
outgrowth,2
convex,12
enthusiastic,18
global,170
inexpensive,5
missile,96
guidance,63
nato,57
marketplace,8
transmissions,17
overwhelms,2
spidery,1
prototype,69
normality,2
intensive,31
functioning,30
hallucinatory,2
receptors,14
spine,39
allows,109
fraid,2
wha,46
mechanism,56
hallucinate,3
freaky,23
neural,52
floodgates,4
centerfold,3
pillows,17
disa,1
warp,21
servomechanism,1
momentum,14
freaked,36
cof,1
transmission,90
tapes,58
prerecorded,3
cesspool,2
wallow,4
rotting,10
analyze,18
squishing,9
rafe,6
dub,27
boardroom,3
overhead,27
unlatches,1
videotape,11
tapecassetteloads,1
playerclicking,1
seduce,19
motiveless,1
manhunt,3
metro,213
piper,73
batteries,61
brolley,1
scrip,4
unpeeling,1
tracey,15
medici,5
based,1042
renaissance,47
statesman,22
lorenzo,17
feedback,28
gagging,16
convexgagging,1
complex,256
transformation,44
unzips,3
protecting,85
honoured,22
padrone,1
symbolizes,5
prizzi,30
lavender,18
notables,6
partanna,16
charley,101
veal,16
steaks,9
eduardo,21
corrado,5
welcomes,8
amalia,11
maerose,8
cara,11
pappa,1
dominic,81
respectful,15
badonna,1
dialo,5
conolli,1
mae,51
decorating,10
deco,16
alignment,19
peaches,9
gallagher,52
dun,18
granddaughter,28
dos,37
zumos,1
pi,34
bacard,1
zumo,1
bacardi,3
puerto,119
rican,37
pineapple,28
cuba,49
goons,7
clobber,2
polak,3
walkervisks,2
deductible,6
excaliber,1
hormonal,3
secretion,4
hedging,2
noche,5
ronda,6
favourites,17
cyril,15
casino,154
casinos,24
scam,36
collectors,13
marxie,18
heller,25
cashiers,2
hauled,12
leone,34
helper,14
toupe,1
palo,12
prizzis,1
scammed,4
las,161
yelled,16
bing,25
satchel,5
poppa,11
heartburn,4
dominics,6
turbino,3
speciality,6
hitter,18
shapes,44
whoah,1
calendar,86
organised,50
departments,63
scamming,1
paulo,51
contractor,25
sicilians,3
alvin,29
gomski,4
treasurer,33
finlay,8
rosario,10
filargi,31
feds,55
milking,11
mierda,2
chunk,10
compassion,32
apartments,30
gogo,1
gaga,5
tosses,3
jees,3
creep,28
recapping,1
captains,23
speculate,6
calhain,2
kidnappers,20
ciglione,2
babycham,3
capulla,1
camper,16
cruises,5
beep,63
promenade,6
pm,115
dishonoured,3
davey,28
sharking,4
basketball,239
trucking,1
commissioners,27
swept,33
leaning,23
uproar,9
bocca,3
padrino,7
thinker,11
speechless,10
swore,37
hires,16
clip,32
colds,2
nevada,66
tokens,14
tomas,9
innovarata,1
fingo,1
costing,15
renegotiate,4
banquet,27
wax,30
camorra,3
submarine,50
capiche,5
zipped,2
bodyguards,11
hilary,41
jackson,210
outer,66
stonehaven,6
alaska,64
ranged,6
withheld,6
notification,13
kin,13
manheim,5
notorious,29
welded,8
officials,147
ranken,38
looky,4
manny,116
peeing,6
diapers,16
robbed,50
faggot,23
vegetable,17
fucker,51
chinga,1
madre,8
pinche,2
puto,2
renovation,17
fart,35
punks,10
kennel,2
homeboy,4
grabbin,1
jab,17
stoolie,1
sucker,63
mandatory,27
pushin,6
kickings,1
betcha,16
layaway,1
cr,38
hugh,66
hefner,2
duffel,7
nedd,1
prizefighter,1
paramedics,19
pulasky,7
cassidy,15
barstow,9
unmanned,19
goddammit,7
rapo,2
sheet,64
statutory,21
throttle,15
foolproof,9
asses,34
glacier,35
ee,27
simoleons,1
exaggeration,4
procedure,96
mil,11
dreamin,6
mardi,5
gras,18
cafeteria,28
listenin,5
slam,29
motherfucker,127
corporations,22
eastbound,12
fucked,193
caboose,5
screwy,3
handrails,2
croaked,1
croak,4
chopper,23
escapees,2
brogans,1
macdonald,89
uphold,14
granville,17
bananas,22
scrap,32
dispatch,29
overspeed,1
seneca,3
reaches,63
restriction,14
derail,11
maintainer,4
acknowledge,39
derailing,3
hurdle,2
anchovies,4
newton,64
hostler,1
locomotive,116
eta,20
walkway,6
collision,28
disconnect,8
cables,20
coupling,20
extinguisher,5
northeast,119
elken,4
spilt,4
bulls,33
breakin,15
macketsburg,1
bellport,1
evacuatel,1
miracles,37
oneself,14
walkways,3
birdie,16
goggles,8
upfront,4
derailed,7
shunt,3
gilchrist,2
beaming,8
houston,126
launch,125
satellites,27
anglo,47
hogan,66
nathasha,1
cohn,3
portugese,3
florinda,1
salsa,23
shutter,18
echoing,27
roams,9
maestro,13
realty,8
commute,3
soho,12
loft,9
eisenhower,15
jogging,11
sparse,7
esteemed,8
colleague,52
wrought,2
assess,26
haydn,8
lovin,7
shakin,5
tucson,33
cancels,2
confuse,15
consciences,2
jog,11
wally,52
affordable,13
accelerating,8
schnittman,1
capitalize,6
misfortune,13
basis,188
meaningless,21
ping,25
pong,28
burps,12
meryl,8
streep,10
lawsuit,38
reynolds,66
sale,181
goddam,2
bloodsucking,3
paraguay,15
asuncion,1
weeping,22
hitler,79
flushing,11
maintenance,81
extradition,15
licence,38
renewed,28
billboard,132
blaring,43
omen,18
tvcartoon,1
fielding,26
jacuzzi,7
tvcontinues,2
highs,9
rains,26
dazzle,14
stair,5
yelps,24
revolting,8
squeals,17
cranky,17
rind,2
quitter,6
references,677
shirk,4
curved,31
lgnites,1
lighting,63
oven,70
burners,12
grinding,19
prospect,21
indentured,8
servitude,5
wildest,25
violin,75
zips,4
prostate,8
windsdown,1
phi,32
beta,44
kappa,23
crepes,2
suzette,1
orangejuice,2
grated,2
tiles,19
blender,8
lukewarm,4
hysterically,2
hopelessly,8
sinking,27
estimates,42
contractors,9
shirks,2
hitchhike,5
menchattering,1
brad,145
girlfr,1
appliances,9
landscaping,8
fixtures,16
enginesputters,1
layman,9
gravel,19
hasta,8
pronto,10
permits,41
agitated,12
udders,2
milked,3
parakeet,4
mozart,22
shrapp,5
adults,90
dial,72
rhyme,16
banna,1
banana,69
fanna,4
fo,6
manna,9
rad,10
balter,2
falter,4
malter,1
constricted,3
compress,7
missiles,54
truckengineidling,1
hornblasting,1
brakesdecompress,1
truckpullsaway,1
lockunlocking,1
gusting,2
haggling,5
define,56
chatteringcontinue,2
moaningcontinues,2
sniffling,10
curly,14
alka,5
sprayer,1
bummer,11
fieldings,1
ranchero,1
unplug,4
friggin,16
bluegrass,5
symphony,93
szell,1
filters,10
hwang,2
beatles,25
catalogue,54
suzettes,2
realization,10
childrenontape,1
sawing,1
chauvinist,4
provincial,120
underestimates,3
assumes,18
incapable,17
click,57
mutters,16
hypocrite,21
splat,5
plasterer,1
labamba,2
bailar,2
bamba,2
necesita,1
una,40
poca,5
gracia,6
par,32
mi,270
plumbin,1
madder,9
slaved,2
hock,4
hots,6
sunk,25
gravestone,2
amazes,1
bam,24
zoom,21
vietnamese,98
performances,156
revulsion,2
construed,6
shallow,40
centred,13
anguish,9
bannister,5
foundation,217
odetojoy,1
bridesmaid,12
ode,11
sync,75
mujo,1
doboj,1
prosperity,22
democrats,48
republicans,15
rothman,2
vicinity,38
daring,18
depository,5
undergoing,13
spokesman,18
accomplice,16
infamous,27
author,259
valor,15
interviewer,6
dresser,19
authors,61
publishing,145
deadlines,3
geometry,17
burnout,2
brighter,20
madlock,18
cuffs,10
assets,47
liabilities,2
irritating,17
peritonitis,2
shooter,63
defector,3
handout,3
malignant,6
continuing,91
donates,3
incarnate,6
meechum,7
fiction,147
cleve,24
approving,9
auditor,6
irs,17
divider,1
pearlman,7
brennan,28
thorn,10
bowen,48
wallpaper,8
cornflowers,1
licences,4
springfieid,1
danzig,4
phillip,40
danzigs,1
bookkeeper,2
pianoplays,1
quitt,1
ingrate,3
sylvie,8
elle,20
quitte,1
prend,1
autre,4
amant,2
piaisir,1
ne,79
dure,2
chagrin,4
toute,2
vie,31
scatteredapplause,3
unutterably,1
knockouts,1
tab,15
hobby,29
amoral,3
quail,15
dallas,188
chronicle,42
repaper,1
charmer,6
patek,1
graham,167
communication,145
inappropriate,44
characteristic,44
pacino,4
goon,7
pasadena,9
handgun,3
substantial,60
scumbag,21
lowlife,5
chapters,36
sued,33
discards,6
imaginations,1
manuscript,65
tracked,36
hilliard,7
dios,12
perdone,1
digale,1
toda,5
verdad,3
idigale,1
homicides,10
skinned,21
indictments,5
flights,47
alien,152
bonecrunches,1
underestimate,17
editions,53
mildewed,1
turner,65
breeds,7
expertise,36
jarvis,17
sobshysterically,1
seller,15
raging,19
refusing,18
tearin,1
patching,1
matching,39
colling,1
hoh,2
nomal,1
formeroperatorofthe,1
ratline,1
factum,2
offensive,87
derogatory,4
draganovic,3
supplied,41
documents,123
barbie,163
organizer,13
services,521
croatian,46
seminary,18
salzburg,11
cic,6
intermediaries,4
procured,8
robes,13
pius,37
communism,16
giovanni,81
montini,2
vi,72
ss,81
klaus,34
segment,48
holtzman,1
horrified,6
holtz,3
collaborators,11
holocaust,33
widespread,57
augsburg,9
neagoy,3
altman,6
bureaucracy,15
recruited,39
interior,114
interrogation,36
efforts,148
repressive,3
interrogated,14
decently,2
roughly,76
furmont,1
barrientos,3
paramilitary,13
repression,9
nzer,1
collaborated,36
openly,35
interrogations,8
benzer,2
abuses,15
castro,31
santana,9
alvaro,7
plaintiff,26
associatedpress,1
lapaz,1
flashed,6
neo,38
paraphernalia,6
heil,8
austrian,92
paz,27
roberto,34
su,73
rez,3
cocaine,44
steyr,8
bolivia,56
demeanour,1
altitude,42
naps,3
lyon,36
dom,115
supplying,16
formerchieftainof,1
thefianc,1
sofdeath,1
ustarez,5
fianc,61
joachim,16
fiebelkorn,2
adolfo,5
adventurers,7
countryman,4
frankfurt,38
bolivian,21
politically,32
emigrate,1
marxism,5
guevara,8
cruz,71
bavaria,33
klarsfeld,4
adjutant,8
eichmann,6
mengele,4
aires,22
professorship,6
orchestrated,12
exaggerations,1
manipulated,20
exaggerated,18
exaggerate,5
wwll,3
distortions,8
arise,23
vindictive,4
meza,2
blocked,70
railing,8
lima,30
chile,52
ecuador,36
recipients,12
strandgutes,1
krieges,1
strandgut,1
jetsam,2
resentment,13
translator,22
nobleman,16
altmann,24
handen,3
jin,27
transmarica,1
boliviana,1
privately,42
participation,52
siestas,1
normally,123
commerce,55
schwend,5
exploits,15
medals,61
ribbon,47
formerfederaljudge,1
temporarily,50
peru,46
schneider,14
merck,4
peruvian,25
trans,30
dealings,15
scruples,3
avowed,2
ideology,21
idealism,4
banco,4
converted,108
deutschmarks,1
hamburg,37
cholo,1
highlander,5
massively,7
cropped,7
subordinate,17
superiority,4
supermensch,1
launched,250
transmaratima,4
antwerp,10
bolivians,4
subscription,17
bogota,3
acquaintances,11
feeble,8
velasquez,9
alavarez,1
equivalent,88
dm,4
kilo,11
memorandum,5
jenni,1
santos,39
simon,203
wiesenthal,6
declares,15
archives,41
gestapo,36
sd,9
egyptian,86
november,870
banchero,2
rossi,26
alias,24
der,140
spiegel,1
bild,1
zeitung,4
involving,95
furiously,4
lauer,2
betrayal,23
textbook,15
forceful,6
plainclothes,4
chuckled,1
untrue,5
bolivar,37
posed,24
chambon,2
cautiously,4
beate,4
indicting,2
leaked,24
richter,16
foots,1
chancellor,63
semitism,17
karsfeld,3
junta,4
distaste,3
shined,6
exploiting,7
concentrated,35
lyrical,18
halaunbrenner,1
newsworthy,6
denounce,7
villeurbanne,1
rue,35
loti,1
serge,10
claudine,4
demonstrated,52
frenchtvnews,1
journalistically,1
avenger,1
klarsfelds,1
diplomats,8
regis,10
debray,4
revolted,6
thwarted,11
indifferent,7
embassies,9
procedures,50
pompidou,5
resistance,137
blindfolded,8
prosecutors,12
coincidences,6
torturer,5
germanic,10
guttural,1
journ,8
moulin,7
molino,2
ageing,9
mellowed,2
marisa,3
schumacher,15
submachine,5
guido,14
vildoso,6
authorizes,3
journalists,39
authorization,12
arresting,20
mandate,20
ethical,20
unforeseeable,1
impressions,15
bookstore,20
represented,169
friendlier,6
banzer,4
troopers,6
paramilitaries,5
fascists,4
consistency,22
racist,38
abortive,7
via,268
santiago,90
differed,13
pinochet,3
allende,3
latino,57
rudely,2
madcap,2
conclusive,11
marginality,1
promote,83
colombian,42
dictatorship,11
izieu,7
salazar,5
resolved,31
illegally,18
continents,20
complications,36
errors,25
anchorman,3
awaited,5
guyana,7
montluc,3
frenchman,10
formally,49
jacques,58
riss,3
occupancy,8
scantily,1
clad,12
overlooking,27
sniper,26
ban,64
losers,41
verg,20
attests,4
indefensible,3
eurasian,5
discrimination,30
algerian,23
activist,49
cambodian,6
disagreed,5
algiers,8
practised,9
palestinian,25
fedayeen,1
investigative,26
evades,2
elaborate,44
courageous,9
ibrahim,19
abdallah,3
bombings,15
genoud,3
ois,3
flirted,5
reich,16
plo,2
habash,1
ultra,43
marxist,12
extremes,12
ploy,5
prosecutor,47
brimstone,5
havana,24
lynch,32
shield,124
bourgeois,8
usher,15
judicial,41
disputes,24
vets,2
laxatives,2
ailment,3
republics,8
emperors,16
librarian,21
kurfstein,1
hitlerian,1
tunes,37
messner,1
crozier,2
vividly,6
atrocities,8
jarring,3
frenchwoman,1
rationed,2
fats,11
militia,52
vente,1
proprietor,17
whereas,71
crispy,8
vegetables,39
vettard,1
lobster,22
mitterand,1
vichy,18
collaborationist,3
collaborationists,1
spineless,4
flaw,8
ideals,27
disagreements,13
strategy,150
clashes,10
rivalries,7
frenay,1
negotiating,27
dulles,9
drawbacks,3
gaulle,6
negotiate,37
allied,74
ally,61
maintains,28
canaris,1
karl,133
wolff,12
producerof,1
thebittertruth,1
memmingen,1
scope,116
indictment,21
confront,27
systematic,24
pointless,24
prescribed,19
lethal,36
gratuitous,2
sadism,4
terrorism,43
exempt,2
origins,77
gypsies,7
algeria,29
horrors,12
massu,1
argout,1
paratroopers,5
slew,9
localleaderofright,1
nationalfront,2
raises,24
nationalleaderof,1
ww,9
chambers,89
misunderstand,12
memos,4
dannecker,1
circulated,10
herd,63
claiming,78
ophuls,1
document,85
establishing,51
hearings,14
studies,316
contested,45
conceded,20
transferring,27
drancy,4
crude,21
telex,2
forged,41
predated,4
envoy,13
typed,8
debated,15
photostats,2
jurors,13
specialcorrespondent,1
liberation,39
extradite,2
holford,1
streim,1
ugif,1
captive,13
truche,1
challenged,39
credibility,19
credible,20
inconsistent,10
worker,91
favet,8
julien,11
lobotomy,3
impact,221
challenging,28
handicapped,18
felling,1
summoned,26
vines,8
asparagus,12
perticos,3
dorm,19
sped,8
betraying,7
bourdon,3
militiaman,2
identically,5
troughs,4
conferring,4
testified,23
masters,117
wehmacht,1
butts,16
carted,1
partisans,13
jura,6
zlatin,2
hemingway,9
unfounded,5
collective,56
rake,7
awaiting,16
pessimism,1
clarified,1
obscured,8
pondered,1
deplored,2
asian,149
ancestry,28
predicting,13
subhuman,2
plead,28
extenuating,1
rejected,103
donitz,1
outdoing,4
mentors,7
leprogr,1
belley,1
mayer,39
bulka,2
poland,256
rounded,33
hiv,36
maurice,94
gerenstein,1
balsam,2
lutzgart,1
clogs,2
melting,33
blossoming,4
budding,4
fanny,54
exits,20
lagrange,15
simone,29
kaddouche,5
kaddouches,2
bontout,5
tugged,3
goitzman,1
serr,1
fondness,2
motion,178
teratoma,1
meowing,49
receiver,34
alarms,20
cocking,13
suspenseful,26
strings,58
breached,17
stairwell,6
suzanne,53
bobbie,20
whahoo,1
concierge,26
stockholder,3
lester,54
harvey,92
limo,26
snicker,2
bimbos,2
walt,37
daryl,13
unglued,6
conditioner,13
bosky,1
levine,9
spa,51
bubbly,5
hmmm,17
upbeat,14
lauderdale,14
slapping,12
riffraff,2
marina,29
hunh,1
lance,87
hedgeworth,3
opportu,1
jour,8
cruise,58
dammit,28
genetic,63
seasick,5
rachel,193
mouthed,4
admirer,20
barf,11
crewman,3
anchor,75
pleeease,1
yachts,6
partake,6
partying,12
evens,3
crewing,2
assigning,11
busboy,3
dishwasher,11
cayman,11
richer,24
gears,21
shifting,22
errol,4
unison,13
gall,8
biologist,11
doctorate,22
tango,29
tammy,16
faye,10
trampling,5
wrath,17
yeahhhh,1
nanananana,4
stud,25
preoccupied,8
nitwit,6
deadline,26
legit,20
charter,60
rach,6
log,65
sextant,2
navigation,43
fonda,3
tugboat,3
restrained,10
perky,14
nooo,3
ugh,173
mayday,22
caymans,4
cranking,6
mini,68
bloodstained,1
mutating,2
rabies,18
mutation,22
distorted,16
disappointment,41
experimentation,7
experimental,67
administer,11
metabolic,9
multiplying,4
phenomenal,12
ingesting,2
preppy,3
electrical,97
hassles,1
contaminated,18
meow,5
boogie,13
sniffs,34
stranded,29
stupidest,6
damndest,1
tingles,3
boo,56
salivate,2
flakes,9
pried,5
hoarding,8
consistent,50
briefcase,36
understandably,4
backed,50
relaxation,6
contacting,9
massachusetts,154
choked,8
dispossessed,4
presently,34
enviable,1
