word1	word2	headline	joke
knew	known	-	I knew I should have studied, and now it’s known I absolutely did not. ​
listen	within	-	Listen within… you’ll hear the sound of naps waiting to happen.
every	center	-	Every time I go to the center of town, I find myself in the center of drama.
know	property	-	I know property is expensive—I cry every time I see prices.
born	thank	-	I was born tired, so I thank caffeine every morning for partial resurrection. ​
really	mexico	-	I really want Mexico—sun, food, and no deadlines.
happy	states	-	Happy states of mind are mostly fueled by snacks.
think	department	-	What do you think of this department? I think it's departmentally challenged. Textbook example of irony.
going	angry	-	Where's this going? Angry. We're speedrunning outrage now. Any% disappointment.
couple	national	-	A couple of national issues. He asked, Like what? I replied, Everything.
going	catholic	-	Where are you going? To Catholic church. I asked, Why? He replied, I need to atone for going to the Protestant one.
know	plot	-	I know the plot is confusing when even the characters look lost.
weeks	please	-	Weeks, please pass faster… I’m late again.
going	adam	-	I’m going to ask Adam—he gives answers even when he shouldn’t.
tell	notable	-	Tell me about the notable person. I said, They existed. He asked, Is that notable?
good	honor	-	It’s a good honor to be here—mostly because I didn’t think I’d wake up on time.
tell	nearly	-	"They tell me it's nearly done, which means ""approximately never."" ​"
look	university	-	"I look at the university brochure and wonder if it includes a course on ""how to pay for this."" ​"
around	football	-	What's this around football? I asked, What do you mean? He replied, Why is there a sport around this.
left	wish	-	I left because I wished I had. Absence is presence of regret elsewhere.
please	performed	-	Please—we performed. Very well at being terrible. Award-winning incompetence.
everything	island	-	Everything feels better on an island until you realize the boats only come Thursdays. ​
feel	university	-	Feel the university. It's expensive confusion with credentials. Luxury despair.
take	isbn	-	Take ISBN numbers seriously—like snacks in a library.
guys	community	-	You guys built this community. Now we're community specimens. Socially aware lab rats.
want	centre	-	What do you want? Centre stage. To perform badly. In front. Very brave.
year	fault	-	This year’s fault? Too many surprises, not enough snacks.
good	boat	-	A good boat isn’t just sturdy—it also forgives bad paddling.
work	dear	-	Work, dear friend, please behave—this relationship is complicated.
together	shut	-	Together we'll shut up and contemplate existence. Quietly. Forever.
minute	book	-	Wait a minute—I'll book your disappointment. It's guaranteed delivery.
please	playing	-	Please stop playing around—I already lost at life today.
mean	washington	-	What do you mean by Washington? I mean the capital and the state. He asked, Is that mean?
tell	tracks	-	Tell the tracks I’m tired of life running over me.
come	oxford	-	Come to Oxford. Where education is just fancy confusion. Premium confusion.
think	served	-	I think they served food… or maybe it was just a plate of disappointment.
bring	john	-	Next time, bring John; he understands spreadsheets and emotional support. ​
know	volcano	-	You know it's bad when my temper erupts before the volcano does.
sure	york	-	Are you sure about this? As sure as New York is sure. She asked, What does that mean? I said, Nobody knows, but New York is sure anyway.
born	leave	-	Born ready, leave confused—that’s my motto.
mean	training	-	"When they say ""intensive training,"" they usually mean ""you will question your hobbies."" ​"
need	works	-	I need works to finish themselves while I nap.
know	median	-	I know the median is middle ground, unlike my extreme opinions.
tell	thus	-	Tell the story, thus it begins… with chaos.
start	heard	-	I didn’t even start, but somehow I heard blame already.
know	tuesday	-	I know Tuesday. It's that day between Monday and Wednesday. Meaningless middle.
shall	anything	-	Shall I do anything productive? My brain says no.
know	october	-	"I know October is busy when my calendar says ""know your deadlines"" and my brain replies, ""I only know procrastination."" ​"
believe	division	-	I believe division is just multiplication with an attitude problem.
thing	official	-	The thing official—it's officiously official. Red tape confirms itself recursively.
start	died	-	I start my day and my motivation already died.
come	knife	-	Come here with that knife—oh wait, it’s just a butter spreader.
kidding	made	-	I was kidding, but you made it a team policy, which is impressive and terrifying. ​
sure	minutes	-	You sure it’ll take minutes? That usually means hours.
baby	style	-	Baby style: cry, nap, snack—repeat.
know	democratic	-	I know a democratic chicken—it always lets the eggs vote on when to hatch.
work	attack	-	Work launched a sneak attack—I wasn’t ready.
wait	including	-	Wait, including me? I didn’t sign up for this.
know	electoral	-	I know the electoral system is complex—my brain resigned halfway.
never	style	-	I never judge your style—mostly because mine doesn’t exist.
like	persian	-	I like Persian cats—they judge me in three languages.
come	admiral	-	People come for the captain and leave saluting the admiral. ​
time	sweetie	-	Time to calm down, sweetie—you’re stressing me out.
please	century	-	Please don’t act like you’re from another century—your slang gives it away.
want	center	-	I want to be the center of attention, but anxiety keeps pushing me backstage.
hello	university	-	Hello university, I bring snacks and tears.
like	karnas	-	I like Karnas—mostly because it sounds exotic and edible.
kidding	thank	-	Kidding aside, thank nobody. They didn't help anyway. Honesty is the new politeness.
please	november	-	Please make November stop being eighty days long.
help	size	-	I need help choosing a size—my confidence says small, my appetite says XXL.
understand	former	-	Understand former mistakes… mainly my snack hoarding.
come	carolina	-	Come to Carolina—where dreams are North and South simultaneously. Directionally confused.
need	became	-	I need a vacation, but work became a permanent resident.
like	jessica	-	I like Jessica—she shares cookies sometimes.
guess	free	-	Guess what's free? Nothing. Even air comes with a guilt tax now.
stop	former	-	Stop being my former friend. I said, That doesn't make sense. He replied, Exactly—nothing about this does.
think	germany	-	I think Germany would like me—I’m always efficient at worrying.
come	forces	-	Come forces… mostly of caffeine and chaos.
know	austin	-	I know Austin is cool—my playlist moved there without asking.
think	mill	-	What do you think of the mill? I think it grinds things. He asked, That's all?
want	whoa	-	I want excitement, not the kind where life shouts ‘whoa!’ at me.
give	september	-	Give me September… or at least a pause button for life.
said	census	-	He said the census was wrong. I asked, How? He replied, It counted him.
anything	club	-	Anything club related? Yes, the snack appreciation club.
always	june	-	It’s always June when your calendar is full of weddings and empty of money. ​
sighs	states	-	Sighs across states—mostly from too much work.
need	published	-	I need published… or at least Instagram famous.
well	shirt	-	How well does the shirt fit? Loosely. Like expectations around here. Very loose.
know	civil	-	I know civil behavior exists… but my cat disagrees.
well	screaming	-	Well, if screaming burned calories, I’d be shredded.
mean	february	-	Mean February: short month, long regrets.
come	square	-	Come to the town square—we’re protesting homework.
still	size	-	I’m still deciding on size—of my problems, not my shirt.
know	selected	-	I know I got selected for the job because they needed someone who asks ‘why?’ too many times.
know	graduated	-	I know you graduated—your bragging diploma says so.
really	report	-	I really wrote the report… but autocorrect did half the work.
maybe	services	-	Maybe I need services—emotional, technical, spiritual… all of them.
know	guarantee	-	I know there’s no guarantee… especially for my diet surviving parties.
know	whoo	-	I know you’re excited, but one more ‘whoo’ and I’m calling security.
good	apartment	-	That's a good apartment. High-end despair location. Rent includes daily regret service.
-	-	Secret Service Official And Ex-Trump Aide Tony Ornato Retires Amid Jan. 6 Probe	He's retiring just in time—right before the questions get really uncomfortable.
-	-	Vaccine Skeptic Eric Clapton Contracts COVID, Cancels Shows Because He's 'Anxious'	Clapton got COVID and cancelled—irony should be painful.
-	-	Student Loan Borrowers Await Biden Plan On Debt Forgiveness	They're waiting for relief like they waited for graduation—with hope and anxiety.
-	-	UN General Assembly, Security Council To Hold Meetings About Russia's Invasion Of Ukraine	The UN's meeting about Russia's invasion. That's basically confirming it's serious.
-	-	GOP Sen. Joni Ernst Blocks Bill Protecting Right To Birth Control	She blocked birth control protection—because apparently controlling women is party policy.
-	-	Jury Selection In R. Kelly Federal Trial To Begin In Chicago	Finding impartial jurors when everyone knows what he did—good luck with that.
-	-	New York Couple Turns In 5-Foot Gator 'Zachary' They'd Been Keeping In Home	They had a five-foot gator named Zachary—and didn't call animal control—until now.
-	-	How To Hide Even The Worst Tan Lines, According To Makeup Pros	Finally the real solution to your terrible beach vacation decisions.
-	-	Cancer Hospital Struck By Russian Shelling, Says Ukraine	Russia shelled a cancer hospital. That's targeting sick people—real classy.
-	-	Blinken Vows U.S. Support To Moldova As War Rages In Neighboring Ukraine	Blinken promised Moldova support. That's basically saying 'Russia's coming for you next.'
-	-	Team Ukraine Arrives Safely Ahead Of Prince Harry's Invictus Games: 'We Are Delighted'	Ukraine showed up at the Invictus Games—that's resilience and also proof they refuse to quit.
-	-	'Dragon Ball Super' Bests 'Beast' At Box Office With $20.1M	Goku's still got it—even after all these years.
-	-	Trump-Endorsed Wisconsin Gubernatorial Candidate Tells Voters To Take Up Pitchforks	He's really plowing through the campaign trail—literally and figuratively.
-	-	Top Law Enforcement Officials Back Judge Ketanji Brown Jackson's Supreme Court Nomination	Law enforcement backed Jackson. That's basically saying she's legit.
-	-	20 Of The Funniest Tweets About Cats And Dogs This Week (June 18-24)	Twenty funny pet tweets—because internet cats are iconic.
-	-	Ukraine Fights To Hold Off Russian Advances In South, East	Ukraine's fighting on two fronts—that's barely holding on with a smile.
-	-	'The Batman' Gives Movie Theaters A New Hope With Big Launch	The Batman had a big opening. Theaters are desperate for movies that work.
-	-	Trump Org. CFO To Plead Guilty, Testify Against Company	He's singing like a canary—and the Trump Organization's not enjoying the tune.
-	-	Ohio Fairgrounds Turns Down Upcoming Trump Political Rally	Ohio fairgrounds rejected Trump's rally—that's even his home turf saying no.
-	-	Liz Cheney Says Jan. 6 Committee Exploring 'Enhanced Criminal Penalties' For Trump	Liz said they're exploring penalties. Translation: 'Prison time.'
-	-	Democrats' Inflation Reduction Act Expected To Do Little To Reduce Inflation	They named it the Inflation Reduction Act—irony is free, apparently.
-	-	Green Day Frontman Says He's Renouncing Citizenship Over Roe: 'F**k America'	Green Day's frontman renounced citizenship—because Roe made him that mad.
-	-	Ukraine Rejects Russian Demand For Surrender In Mariupol	Ukraine said no to surrender. That's defiance knowing you're losing.
-	-	Doug Mastriano, Far-Right Election Denier, Wins Pennsylvania Gubernatorial Primary	An election denier won the primary—Pennsylvania's in trouble.
-	-	Orange Wine: Everything You Need To Know And Probably Didn't	Orange wine is here—and wine snobs are still fighting about it.
-	-	French Scientist Trolls Twitter By Claiming Chorizo Slice Is Actually A Distant Star	He's trolling Twitter with astronomy—and honestly it's the best content out there.
-	-	'Jeopardy!' Makes A Spelling Error And Fans Gleefully Pounce On It	Jeopardy misspelled something—and Twitter had a field day.
-	-	Clashes Erupt Between Israeli Police, Palestinians At Al-Aqsa Mosque	Clashes at Al-Aqsa—that's a holy site becoming a battle zone.
-	-	'Tiger King' Star Charged With Animal Trafficking, Money Laundering	Tiger King's in trouble—turns out the show wasn't fictional after all.
-	-	Japan's National Police Chief To Resign Over Shinzo Abe Assassination	He's stepping down after the biggest security failure in Japanese history.
-	-	Chinese Rocket Debris Makes Out-Of-Control Fall Back To Earth	China's rocket is falling—and they're not even trying to catch it.
-	-	Amy Schumer Says Kirsten Dunst 'Was In On' Oscar Seat Filler Joke	Amy said Kirsten was in on it. That's not a defense, that's spreading blame.
-	-	FDA Authorizes First Breathalyzer Test To Detect COVID-19	The FDA approved a COVID breathalyzer—that's just another test for a disease that never leaves.
-	-	Netflix Suspends Service In Russia Over Ukraine Invasion	Netflix left Russia. Even streaming abandoned Putin.
-	-	Rep. Jim Jordan's Judiciary Twitter Account Finds 'Threat' In Pic Of Docs At Trump Home	He's really reaching for threats—like a kid looking for monsters under the bed.
-	-	Biden On Putin: 'For God's Sake, This Man Cannot Remain In Power'	Biden said Putin can't stay. That's not usual diplomacy but okay.
-	-	Texas Flagged 27,000 Mail Ballots For Rejection In Primary	Texas rejected 27,000 ballots. That's voter suppression with numbers.
-	-	Kobe Bryant Crash Photos Lawsuit To Be Heard By LA Jury	Kobe's tragedy's still making headlines—and now courtroom ones.
-	-	FBI Arrests Baltimore Police Officer For Allegedly Selling Ghost Gun, Drugs	A cop selling ghost guns—the irony of the irony.
-	-	Oscars 2022: See The Complete Winners List	Here's who won Oscars. Nobody will remember except for the slap.
said	produced	-	"They said they produced a ""short report,"" which turned out longer than the original problem. ​"
right	addition	-	You’re right, addition is easy—until numbers start acting shy.
think	construction	-	I think construction workers are superheroes—they make noise even at 6 AM.
know	edinburgh	-	I know Edinburgh. It's a city where history judges you constantly. Very critical architecture.
look	eight	-	Look, there are eight of them—math is judging us.
mean	final	-	Mean final exams… mostly finals of despair.
guys	area	-	Guys, this area looks sketchy… let’s walk faster.
tell	award	-	Tell me why I didn’t win the award—I showed up, didn’t I?
thank	park	-	Thank you for the park picnic—minus the ants.
back	assembly	-	I’m back—did the assembly miss my chaos?
everything	december	-	Everything changes in December. I asked, How? She replied, Because December is commercial and cold—nothing's genuine anymore.
come	numerous	-	Come see numerous failures. We've got a collection. Curated disappointment gallery.
somebody	became	-	Somebody became the snack thief… guilty!
thank	cell	-	Thank the cell for keeping me tethered to sanity… barely.
married	stop	-	They got married and didn’t stop—now they argue at pro level.
believe	began	-	Believe it began. It did. It's also ending. Simultaneously. Very efficient.
come	associated	-	Come see what's associated with this. I asked, What is it? He replied, Problems.
tell	popular	-	Tell me popular. Everyone's doing it. Failure: trending.
took	thank	-	I took a moment to thank my past self… for not eating my leftovers.
right	introduction	-	You’re right, introductions are terrifying for introverts.
something	cell	-	Something about the cell makes me feel trapped and snacky.
right	native	-	You’re right, I’m not a native speaker—my grammar proves it.
together	thank	-	We were confused together, thank the group project for that.
hello	board	-	Hello board—you're full of people pretending to know things. Acting class for failure.
fine	dead	-	I’m fine—just dead inside like my houseplants.
hello	members	-	Hello members—of my fan club, population: me.
well	acquired	-	Well acquired skill: pretending to understand instructions.
please	france	-	Please, France, give me pastries and wine.
right	smell	-	You're right—it smells. I asked, Like what? He replied, Like regret.
excuse	told	-	Excuse me, I told you my dog ate the homework… and yes, it’s still digesting.
excuse	city	-	Excuse the city… my GPS is broken again.
thank	rules	-	I thank the rules for existing so we at least know exactly what we’re creatively ignoring. ​
know	studied	-	I know you studied, but did you *learn* or just panic-read?
please	september	-	Please be kind in September; students are running on leftover summer hope and coffee. ​
know	specific	-	I know specific things. Specifically how to be wrong. Expertise in error.
nothing	university	-	Nothing university taught me prepared me for printer errors.
together	thanks	-	Together—thanks for staying. For the pain. Shared misery is just friendship with regret.
course	village	-	Of course it's a small village where everyone knows your business. ​
want	played	-	I want played well… in a game, not in life, thanks.
know	trail	-	I know the trail. He asked, Where does it lead? I replied, Nowhere good.
mind	located	-	Never mind where it's located. I said, But I want to know. He replied, No you don't.
listen	soon	-	Listen, soon isn’t a deadline—it’s a threat.
please	except	-	Please, except snacks from all rules.
time	gosh	-	Time—gosh. We're wasting it. Successfully. Very committed to wasting.
seen	married	-	I've seen people get married with less commitment than their streaming subscriptions. ​
think	sale	-	I think it’s on sale because it knows I’m broke.
right	carol	-	You're right, Carol. She asked, About what? I replied, I don't know, but you looked sure, so you had to be right about something.
took	crazy	-	He took one crazy idea and built a whole personality around it.
really	goodbye	-	You really said goodbye like it wasn’t my villain origin story.
good	population	-	It’s good the population is growing—more people to ignore my jokes.
talk	royal	-	Talk royal—like the king of chocolate.
time	grunts	-	Time grunts at us. We grunt back. It's an evolutionary conversation about futility.
case	sighs	-	In case you were wondering—sighs are evidence. Collected and catalogued by disappointment researchers.
told	references	-	They told me to add more references, so I quoted my stress and my coffee. ​
give	closed	-	Give me closed. Doors, doors, doors. We're not opening anymore. Permanently shut down.
thank	washington	-	Thank Washington for holidays… snack breaks included.
luck	name	-	Good luck remembering my name—I forget it myself sometimes.
back	price	-	Get back to price. How much failure costs. Expensive. Very expensive.
wrong	near	-	Everything near is wrong. I asked, How near? He replied, This close.
sure	based	-	You sure that’s based on facts? Because it sounds like vibes.
school	possible	-	School made possible what? Disappointment at higher education levels. Success metric achieved.
four	whoa	-	"All four of us said ""whoa"" at the bill, like a surprised boy band. ​"
sure	captain	-	You sure you're the captain? Because this ship is definitely sinking.
fine	means	-	I’m fine, which means absolutely nothing is fine.
good	germany	-	Germany is good at engineering—me, not so much.
sleep	team	-	Our team tried to pull an all-nighter… sleep won.
know	transferred	-	I know you transferred schools, but did your chaos transfer too?
could	gordon	-	Could Gordon help? Nobody knows. Gordon disappeared mentally in 1995.
good	residents	-	That's good—residents here. Permanent occupants of regret. Very committed.
give	production	-	Give theatre kids a small budget and they’ll still create a production louder than your thoughts. ​
understand	november	-	Understand November—cold, dark, and snack-heavy.
like	commanded	-	I like things commanded. By chaos. By fate. By my own stupidity.
hello	anyway	-	Hello? Anyway, I’ll just keep talking like the call didn’t drop.
know	hungary	-	I know Hungary… mostly because of my snack cravings.
please	entire	-	Please, the entire team deserves a nap and a medal. ​
look	outta	-	Look outta the window—my motivation is escaping again.
understand	center	-	Understand center. Middle ground of mediocrity. Equilibrium achieved.
good	hired	-	That's good, hired. Now you're someone else's problem. Congratulations on the promotion.
listen	state	-	Listen, my emotional state is 'buffering.'
give	opened	-	I gave the gift and it opened my social calendar… into chaos.
happened	village	-	What happened in the village stays in the village, especially the goat incident.
girl	chief	-	Girl—chief arrived. Leadership: feminine. Results: identical.
like	nikki	-	I like Nikki; she’s chaos with a smile.
things	international	-	"At international events, things get awkward when the only phrase everyone knows is ""where’s the coffee?"" ​"
come	references	-	Come references, come… or just text me the links.
stay	song	-	Stay while I sing this song. He asked, How long? I replied, Until you leave or I finish murdering this song.
years	honey	-	Years pass, honey—then the snack stash remains the same.
maybe	village	-	Maybe the village has snacks… if I travel there.
kidding	also	-	You’re kidding, right? Because my stress also has stress.
call	united	-	Call United… or just yell at your phone.
good	cell	-	That's good cell service—too bad it's the prison kind. Connected but trapped. Modern metaphor achieved.
thank	football	-	Thank football for giving me something to yell at safely.
something	formed	-	Something beautiful formed when the group realized they all disliked the same meeting. ​
look	cost	-	Look at the cost of that item! My friend said, It's expensive. I replied, Looks don't change cost, just regret.
know	derek	-	I don’t know Derek, but he sounds like he causes problems.
made	birthplace	-	He made his birthplace sound fancy—bro you were born at 3 a.m. on a Wednesday.
love	commander	-	I love the commander of the cookie jar.
think	defeat	-	I think defeat is inevitable… but I’ll snack through it.
take	fault	-	I’ll take the blame, but the fault is still not mine.
tell	list	-	Don’t tell me to make a to-do list—I’ll just put ‘make list’ and feel accomplished.
know	september	-	I know it’s September when every teacher suddenly remembers what homework is. ​
give	york	-	Give me New York pizza and I’ll forgive nearly anything.
come	listening	-	People come for advice but are only listening for confirmation. ​
come	railway	-	Come on, the railway isn’t confusing—you’re just direction-proof.
crazy	last	-	Crazy last minute… my specialty, not recommended.
know	families	-	You know families are complicated when the group chat needs moderators. ​
something	forces	-	Something forces me to stay here. I asked, What? He replied, Probably bad life choices.
come	marie	-	Come meet Marie Antoinette—she lost her head and gained a legacy. Career advice for today.
east	guess	-	East—guess direction. Could be anywhere. Navigation: theoretical.
tell	showed	-	Tell the story… she showed up with desserts.
tonight	national	-	Tonight's national news features people disagreeing loudly about the same three topics. ​
right	empire	-	I tried to build an empire, but I couldn’t even get my WiFi signal right.
know	cellspacing	-	I know cell spacing matters, but my tables scream in protest.
want	october	-	I want October to chill—Halloween lasts a month now.
know	crown	-	I know the crown is shiny, but please stop trying to wear the fruit bowl.
think	designated	-	Think designated. We're all designated for something. Mainly disappointment. It's our destiny job.
mean	formed	-	What do you mean it's formed? I mean it looks like it formed itself—impressive for an inanimate object.
hello	early	-	Hello, you’re early—are you lost or being responsible?
hold	live	-	Hold live… the snacks are escaping.
know	matilda	-	You know Matilda is brilliant when she solves problems in her head. ​
thank	date	-	Thank you for the date—I enjoyed the free food and mild chaos.
tell	central	-	Tell the central office to chill—they send emails like alarms.
baby	court	-	Baby in court—charged with existing. The verdict is predetermined. Guilty of life.
know	purchase	-	I know that purchase was impulsive—my bank texted me immediately.
think	literature	-	I think literature judges me—every time I dog-ear a page I feel the guilt.
woman	system	-	This woman hacked the system—by turning it off and back on.
also	outta	-	I'm also outta—ideas. Time. Patience. Sanity. All the important stuff.
guess	international	-	Guess what's international? Disappointment. It transcends borders, languages, and sanity.
talk	worked	-	Talk—worked. For who? We're still failing. Effort misapplied.
wait	published	-	Wait, it got published? Even my mistakes are going public now.
mean	division	-	I didn’t mean to confuse you—math just insists on division.
look	association	-	Look, association is strong… like coffee and panic.
think	jews	-	I think Jews have great history… mostly from my readings.
want	program	-	I want this program to run, not run away from errors.
think	april	-	I think April showers are just the sky doing a dramatic plot reveal.
know	expedition	-	I know it’s not a real expedition when the hardest climb is out of bed. ​
right	alexander	-	You're right, Alexander. He asked, About what? I replied, Nothing—you're always right.
hello	night	-	Hello, night—here comes my insomnia.
know	shaft	-	I know the elevator shaft is dangerous—just like group projects.
need	afternoon	-	We need afternoon. To rest from morning's failures. Recovery period before evening's.
-	-	Rob Kardashian Testifies That Then-Fiancée Blac Chyna Put A Gun To His Head	Rob testified she pulled a gun—that's serious, and also a Kardashian lawsuit that's actually interesting for once.
-	-	NYC Sheds Vaccination Mandate, School Masks Precautions	NYC dropped vaccine mandates and masks. That's giving up and hoping for the best.
-	-	Brother Of Boy Killed In Uvalde Shooting Blasts Police Response As 'Selfish'	His brother was killed and police did nothing—calling it selfish is actually generous.
-	-	Dolly Parton Reverses Course On Her Rock & Roll Hall Of Fame Decision	Dolly changed her mind about the Hall—that's called 'I reconsidered being humble.'
-	-	9 Migrants Are Found Dead In Rio Grande: Border Patrol	The river took lives that were just trying to find a better one.
-	-	Senate Gives Final Approval To Ukraine Aid, Huge Budget Bill	The Senate approved Ukraine aid. That's bipartisan when it matters.
-	-	Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders	They're asking people to be vigilant—while trying to catch the killer.
-	-	Marjorie Taylor Greene Spews Head-Spinning Double Talk To Laura Ingraham	MTG said incoherent nonsense—and Laura just nodded along like it made sense.
-	-	Johnny Depp Makes Surprise Appearance As Moon Person At MTV VMAs	He's gone from courtroom drama to floating head—what a career pivot.
-	-	7 Major Takeaways From The Jan. 6 Committee's Fourth Hearing	Seven takeaways from Jan 6—all of them were damning.
-	-	NFL Rookie John Metchie III Diagnosed With Leukemia, Will 'Likely' Miss Season	He made the team—then got hit with the worst call.
-	-	4 Of 7 Killed In Iowa Tornadoes From Same Family: Sheriff	Four people from one family died in a tornado. That's tragedy concentrated.
-	-	Leon Vitali, Stanley Kubrick's Right-Hand Man, Dies At 74	He helped create cinema magic—now he's joined the credits roll in the sky.
-	-	U.S. Pediatricians' Group Moves To Abandon Race-Based Guidance	Pediatricians ditched race-based medicine—finally, doctors realizing that race is social construct, not biology.
-	-	White House Removes Dr. Oz, Herschel Walker From Presidential Council	The White House kicked them out. Finally—accountability.
-	-	Russia Launches Fight For Industrial Heartland, Ukraine Says	Russia's fighting for Ukraine's industrial heartland—that's called imperialism with a scoreboard.
-	-	Patrick Lyoya's Death Casts A Light On How Police Mishandle Traffic Stops	A traffic stop became a tragedy—another unarmed Black man dead.
-	-	Trump Heaps Praise On Hungary's Viktor Orban At Conservative Conference: Report	Trump praised Orban—that tells you everything about what Trump wants.
-	-	WATCH LIVE — A New Labor Movement: How Workers Are Unionizing Amazon, Starbucks, REI And Apple	Workers are unionizing—capitalism finally got a speed bump.
-	-	Climate Change Activists Climb Atop Oil Tanker In Mass Protests In London	Climate activists climbed an oil tanker—that's protest theater but also kind of effective.
-	-	House Members Are Using A Controversial Tool To Keep Campaigning. Has It Gone Too Far?	Politicians bending the rules? Shocking said no one ever.
-	-	Emergency Declaration For Multiple Wildfires In New Mexico	New Mexico declared a wildfire emergency—that's the new normal and we're all just accepting it.
-	-	This Earth Day, Biden Faces 'Headwinds' On Climate Agenda	Biden's got climate headwinds on Earth Day—that's poetic irony nobody needed.
-	-	Chihuahua Puppy In Recovery After Being Shot Through The Neck With Arrow	A puppy got shot with an arrow—and we're supposed to believe accidents happen.
-	-	Texas Gov. Greg Abbott Loudly Booed At Uvalde Memorial	Abbott got booed at a memorial—that's his Uvalde legacy right there.
-	-	Former Louisville Cop Pleads Guilty In Breonna Taylor Case	He finally admitted what everyone already knew—three years too late.
-	-	Beijing Loyalist John Lee Elected As Hong Kong's Next Leader	Beijing literally just picked Hong Kong's leader—that's not an election, that's a game show where the ending's already filmed.
-	-	UK Broadcaster To Air Satirical Musical On Prince Andrew	They're singing about his scandals—hope he doesn't sweat through the premiere.
-	-	Principal Of Texas School Where Shooting Happened Reinstated	He's back after a school shooting—because that's how you handle trauma.
-	-	Rep. Marjorie Taylor Greene Tells Reporter To 'Go Back To Your Country'	MTG told a reporter to leave—and nobody expected anything less.
-	-	A Nebraska Man Conducted An Active Shooter Drill. Employees Had No Idea.	He really took 'surprise training' to a traumatizing new level.
-	-	Man Arrested For Alleged Bomb Threat Against Arizona Election Official After Jan. 6	He threatened a bomb over elections—because apparently words weren't enough.
-	-	Republicans Cheer As Congressional Candidate Demands Fauci's Execution By Firing Squad	Republicans cheered execution talk about a doctor—that's how far we've fallen as a country.
-	-	Twitter Bans Ads That Contradict Science On Climate Change	Twitter bans climate denial ads—that's great, except Twitter also lets Nazis hang out, so their priorities are interesting.
-	-	Judge Temporarily Blocks North Dakota Trigger Law Banning Abortion	The trigger law got triggered—by a judge with a gavel.
-	-	Norway's King Tests Positive For COVID, Has Mild Symptoms	The Norwegian king got COVID. COVID doesn't care about your crown.
-	-	UN Says Women Pay Highest Price In Conflict, Now In Ukraine	The UN said women pay the highest price in war. That's fancy UN speak for 'women get raped.'
-	-	Putin Plans To Snub Gorbachev's Funeral	Even in death Gorbachev's still getting the cold shoulder from Putin.
-	-	Russian Airstrike Hits Base In Western Ukraine, Kills 35	Russia killed 35 people in an airstrike. That's war crimes with a body count.
-	-	Russia Accuses Ukraine, U.S. Of Biological Weapon Operations In Heated U.N. Face-Off	Russia accused Ukraine of bioweapons at the UN. That's conspiracy theory with diplomatic immunity.
want	islands	-	I want to escape to islands, but my couch island is already booked. ​
hello	mean	-	Hello, mean weather—can we negotiate?
think	continues	-	Think this continues? It does. Forever. Even after it ends. Haunting is efficient.
come	dropped	-	People come for serious news and stay because someone dropped a legendary typo. ​
going	vocals	-	I’m going, but my vocals stayed home.
sure	west	-	I’m sure the sun sets in the west—Google confirmed it.
thanks	french	-	Thanks French lessons—finally I can say 'snack' elegantly.
like	listed	-	I like listed things. They're catalogued. Organization of chaos.
know	january	-	I know it’s January when the gym is full and everyone is still reading the treadmill instructions. ​
need	image	-	Need image of snacks… for research purposes.
thanks	shut	-	Thanks for the conversation. He said, I'm glad. I replied, I meant, thanks, now shut up.
matter	south	-	No matter how far south you travel, there’s always someone selling sunglasses you don’t need. ​
well	household	-	Well, household rules: snacks before chores.
stay	class	-	Stay in class. I asked, Why? He replied, Because you need all the help you can get.
want	august	-	I want August to chill—it’s too hot for ambition.
remember	population	-	Remember the population? It's still here. Growing like a really persistent fungus.
leave	record	-	Leave a record… mostly of my snack consumption.
really	german	-	Are you really German? He said, Ja. I said, That answers it—a really German answer.
read	thanks	-	Read this? Thanks for nothing. Literacy just means you can appreciate failure in detail.
want	township	-	What township do you want? He said, The one you're not in.
thank	recorded	-	Thank you for recording the meeting; now I have proof I wasn't listening. ​
anything	office	-	I’d do anything at the office… except actual work.
come	plot	-	People come for the plot and stay because they accidentally bonded with the side character. ​
thank	company	-	Thank the company… mostly for coffee breaks.
good	province	-	Good province, terrible Wi-Fi—my priorities are balanced.
mean	august	-	I didn’t mean to roast August, but that heat started it first.
like	requested	-	I like requested things. They rarely arrive. Anticipation is cruel.
give	established	-	I'll give you an established fact. He said, Please do. I replied, I can't—facts aren't my thing.
hello	force	-	"When the teacher says ""hello"" with extra force, the whole class suddenly remembers how to sit up straight. ​"
thing	southern	-	The thing about southern food is it hugs your soul and punches your diet.
going	wing	-	Where are you going? On a wing and a prayer. I asked, Which do you have? He said, Neither.
tell	active	-	Tell me to be active one more time—I dare you.
tell	span	-	Tell me how long the span is—before I fall off it.
thanks	state	-	Thanks for the state facts—my brain is full now.
think	products	-	What do you think of these products? I think they're products—they're here, they exist, they're disappointing.
need	valley	-	We need the valley—it's where we all end up. Geography is destiny's autobiography.
feel	published	-	Feel—published. Our pain is documented. Permanent failure record.
maybe	include	-	Maybe next time include instructions for humans, not just experts with three degrees. ​
think	additional	-	"Whenever a form asks for additional comments, people think, ""Finally, a box for my rant."" ​"
think	games	-	I think games are fun… until someone cheats, of course.
getting	president	-	Getting the president to comment? Good luck. He's busy being wrong publicly.
tell	roman	-	They tell you Roman history is ancient, but office politics hasn't changed much. ​
things	county	-	Things in the county… mostly confusing traffic signs.
said	railway	-	He said railway delays are normal; my patience isn’t.
